"","ID","CODE","ALIAS","STORE","TYPE_90","X_COOR","Y_COOR","TYPE_99","TOWN","TOWN_ID"
"87","7656","I0100001","麥當勞(台北三興)","MIC","1",306291.87495,2769176.93046,"5","信義區","2"
"88","7657","I0100001","麥當勞(台北紐約)","MIC","4",307119.37415,2769847.75781,"4","信義區","2"
"89","7658","I0100001","麥當勞(台北莊敬)","MIC","3",307335.59233,2768871.08451,"2","信義區","2"
"90","7659","I0100001","麥當勞(忠孝二)","MIC","3",307672.30192,2770457.48902,"2","信義區","2"
"91","7660","I0100001","麥當勞(忠孝四)","MIC","4",308445.36959,2770479.55967,"1","信義區","2"
"92","7661","I0100001","麥當勞(新光信義)","MIC","2",307196.53547,2770196.46418,"3","信義區","2"
"93","7662","I0100001","麥當勞(台北南港)","MIC","2",311122.12786,2771931.99935,"1","南港區","9"
"94","7663","I0100001","麥當勞(台北研究院)","MIC","2",312205.70796,2771704.22398,"3","南港區","9"
"95","7664","I0100001","麥當勞(忠孝八)","MIC","3",309896.95425,2771466.31959,"5","南港區","9"
"96","7665","I0100001","麥當勞(台北西園二)","MIC","1",299957.88265,2768995.65218,"3","萬華區","7"
"97","7666","I0100001","麥當勞(台北漢中)","MIC","4",301182.94322,2770738.34979,"2","萬華區","7"
"98","7667","I0100001","麥當勞(昆明)","MIC","4",300985.39743,2770845.43171,"1","萬華區","7"
