OBJECTID,X,Y
243,312484.7188,2775952.25
244,312506.6876,2775932.75
245,312521.5937,2775915.25
246,312530.5937,2775901.5
247,312534.7813,2775892
248,312539.7813,2775864
249,312541.4062,2775828.75
250,312542.6251,2775781.5
251,312545,2775770
252,312558.2813,2775745.25
253,312571.4687,2775723
254,312574.4375,2775714.75
255,312575.6563,2775704
256,312572.6875,2775692.5
257,312564.3749,2775678.5
258,312545.5937,2775648.5
259,312537.5,2775633
260,312522.8126,2775598.75
261,312511.6562,2775579.75
262,312498.1875,2775561
263,312480.7187,2775536.5
264,312472.2188,2775522
265,312468.0313,2775510.5
266,312468.0313,2775492.5
267,312472.2188,2775469.75
268,312480.0937,2775448.75
269,312490.3125,2775431.25
270,312502.875,2775415
271,312511.875,2775397
272,312516.1563,2775382.75
273,312516.6874,2775367.75
274,312516.0001,2775363.5
275,312512.5,2775342.5
276,312495.8125,2775309.25
277,312489.0938,2775290.25
278,312478.2501,2775271.5
279,312462.625,2775251.75
280,312454.25,2775246.25
281,312439.7812,2775240.25
282,312401.9375,2775235.5
283,312372.6563,2775229.75
284,312330.625,2775218.75
285,312317.9062,2775213.25
286,312305.9375,2775204.25
287,312289.6875,2775184
288,312266.2812,2775149.75
289,312239.1875,2775113.5
290,312227.8125,2775101
291,312210.7812,2775089.25
292,312193.75,2775081.25
293,312180.125,2775073.25
294,312166.8751,2775064
295,312155.5,2775053.5
296,312145.2813,2775040.5
297,312134.6876,2775021
298,312130.5313,2775010.25
299,312128.625,2774994.5
300,312130.5313,2774984.5
301,312134.3125,2774972.5
302,312138.3437,2774962.25
303,312149.0625,2774942.5
304,312162.9687,2774920.25
305,312165.3437,2774908.5
306,312162.7188,2774894.75
307,312156.6563,2774882.75
308,312144.9063,2774871
309,312121.8125,2774858
310,312109.3438,2774848.75
311,312102.1563,2774841.5
312,312099.4999,2774833.25
313,312099.4999,2774825.5
314,312101.0312,2774815.75
315,312107.6875,2774795.25
316,312111.625,2774789
317,312119.1876,2774781
318,312132.3124,2774773.25
319,312153.2501,2774765.5
320,312169.5,2774758.75
321,312173.1875,2774754.5
322,312173.8125,2774747.25
323,312168.4063,2774736.75
324,312158.7812,2774728.25
325,312143.75,2774716.75
326,312123.9375,2774708.25
327,312096.0937,2774700.5
328,312062.3124,2774692.5
329,312042.7812,2774685.5
330,312033.7812,2774679.5
331,312031.3438,2774672.25
332,312030.2188,2774655.5
333,312038.0937,2774618
334,312047.5625,2774576
335,312050.5624,2774542
336,312050.9687,2774518.25
337,312056.5937,2774492
338,312064.3438,2774476.5
339,312072.2188,2774469.25
340,312090.8124,2774461.5
341,312104.625,2774457.25
342,312107.5624,2774453.75
343,312108.8125,2774451.25
344,312106.4375,2774444.75
345,312101.0312,2774440.5
346,312090.1874,2774439.25
347,312073.9376,2774440.5
348,312060.1562,2774442.25
349,312046.9688,2774443.5
350,312040.9375,2774441.75
351,312034.9062,2774438
352,312030.5,2774426.5
353,312028.8749,2774412.25
354,312028.2813,2774399.5
355,312031.3438,2774390
356,312034.9062,2774387.5
357,312041.5625,2774388.25
358,312058.9375,2774398.25
359,312070.9999,2774400.75
360,312077.0312,2774400.25
361,312086.625,2774394.25
362,312097.3437,2774385.75
363,312096.2187,2774382.75
364,312090.3125,2774378
365,312080.5937,2774377.25
366,312070.3749,2774381.5
367,312064.9688,2774382.25
368,312058.9375,2774380.25
369,312046.3438,2774366.5
370,312037.875,2774358.25
371,312034.3126,2774351
372,312031.9376,2774333.5
373,312033.0625,2774328.25
374,312036.125,2774324.5
375,312040.9375,2774325.25
376,312067.9374,2774332.25
377,312079.375,2774332.25
378,312081.2187,2774330
379,312081.8125,2774326.25
380,312078.75,2774320.25
381,312063.7188,2774313.25
382,312045.75,2774304.25
383,312031.3438,2774293.75
384,312018.0625,2774277
385,312012.7499,2774270.5
386,312007.3125,2774268.75
387,312000.6875,2774269.75
388,311995.875,2774275.75
389,311990.4688,2774293.25
390,311987.9999,2774306.5
391,311988.6249,2774315
392,311992.2812,2774321
393,312003.0313,2774330.5
394,312005.4688,2774333
395,312005.4688,2774337.25
396,311998.2187,2774345
397,311991.0626,2774351
398,311973.0937,2774354
399,311961.625,2774356.25
400,311956.2187,2774358.25
401,311948.3437,2774368.25
402,311937.6562,2774390
403,311926.6562,2774399.5
404,311916.8438,2774403.75
405,311910.4062,2774402.25
406,311903.1874,2774399.5
407,311899.7812,2774393.75
408,311896.3749,2774383.25
409,311894.125,2774364.75
410,311889.5624,2774355.75
411,311885.4063,2774347
412,311874.8125,2774339.5
413,311853.25,2774330.25
414,311844.9062,2774324.75
415,311839.4688,2774318.5
416,311830.7813,2774306.25
417,311813.3751,2774287.75
418,311796.3125,2774273
419,311794.4688,2774271.75
420,311782.3125,2774262.75
421,311777.7813,2774255.5
422,311775.5,2774249.5
423,311775.5626,2774234.25
424,311780.8438,2774173.5
425,311785.6563,2774155
426,311790.3125,2774141.5
427,311795.6875,2774133.75
428,311798.6563,2774129
429,311808.8125,2774121.25
430,311815.8751,2774116.5
431,311823.6562,2774112.5
432,311833.6875,2774105.25
433,311838.4688,2774095.75
434,311843.1563,2774084
435,311844.4063,2774075
436,311845.5312,2774056
437,311843.7187,2774035.25
438,311841.4375,2774008.5
439,311844.4063,2773974.75
440,311846.6875,2773938
441,311850.2188,2773916.75
442,311863.2188,2773888.75
443,311870.4063,2773865
444,311870.4063,2773848.5
445,311868,2773844.25
446,311863.2188,2773840.75
447,311857.9687,2773839.5
448,311849.0937,2773839
449,311831.2812,2773842
450,311821.8125,2773842
451,311814.0312,2773840.75
452,311811.0625,2773836
453,311805.125,2773823
454,311793.8438,2773787.25
455,311782.5313,2773771.25
456,311774.3437,2773763
457,311761.1875,2773750.5
458,311753.5625,2773734.5
459,311745.8125,2773728
460,311732.8125,2773724.5
461,311713.1563,2773724.5
462,311694.0938,2773721.75
463,311683.4999,2773713.75
464,311668.6563,2773697.25
465,311648.4687,2773684.75
466,311637.1563,2773679
467,311627.6876,2773670
468,311619.3438,2773660
469,311608.625,2773637.25
470,311603.4062,2773630.75
471,311597.4688,2773625.5
472,311584.875,2773619.5
473,311563.5625,2773617.75
474,311510.1563,2773622.5
475,311496.0313,2773622
476,311485.125,2773619.25
477,311483.4376,2773619
478,311476.9375,2773613
479,311472.2812,2773604.25
480,311469.8749,2773595.25
481,311469.3124,2773585.25
482,311470.4376,2773572.75
483,311473.9687,2773561.5
484,311487.1251,2773541.25
485,311497.7188,2773520.5
486,311506.625,2773505
487,311510.1563,2773489.75
488,311511.2812,2773466.5
489,311509.0313,2773447.75
490,311506.0625,2773427
491,311497.1563,2773403.75
492,311495.3124,2773391.25
493,311496.4376,2773383
494,311501.8125,2773363.5
495,311507.75,2773347.25
496,311508.3124,2773342.5
497,311506.625,2773340.25
498,311501.25,2773339.75
499,311491.7813,2773341.5
500,311477.5,2773346.25
501,311466.2188,2773354.5
502,311453.2188,2773371.75
503,311441.3437,2773398.5
504,311430.625,2773418.5
505,311422.2813,2773424.5
506,311415.7812,2773425.75
507,311405.75,2773425
508,311396.2813,2773423.25
509,311389.625,2773418
510,311384.4062,2773409
511,311382.5624,2773390.75
512,311381.9999,2773365.25
513,311377.7813,2773319.5
514,311329.0937,2773207
515,311379.9062,2773186.5
516,311446.2812,2773162
517,311473.9687,2773147.75
518,311498.2812,2773138
519,311515.8125,2773133.5
520,311537.9688,2773127.5
521,311552.2499,2773122
522,311576.2812,2773110.5
523,311600.7188,2773097.25
524,311633.9063,2773074.5
525,311668.375,2773046.5
526,311760.2188,2772965.25
527,311802.1876,2772918.75
528,311835.9375,2772881.25
529,311868.1563,2772838
530,311891.1875,2772800.75
531,311906.4375,2772772.5
532,311922.9687,2772737.5
533,311935.8125,2772706.25
534,311946,2772670.5
535,311966.1875,2772619.5
536,311986.1251,2772579.75
537,312015.0937,2772529.25
538,312071.875,2772444
539,312106.0625,2772392.25
540,312132.3438,2772349.5
541,312146.625,2772323.5
542,312153.5313,2772298.25
543,312152.1249,2772279.25
544,312148.8751,2772267
545,312140.2813,2772256
546,312140.125,2772255.75
547,312128.6563,2772247
548,312112,2772238.25
549,312079.2188,2772223
550,312070.0312,2772221.25
551,312064.9375,2772223
552,312048.0001,2772248
553,312036.4063,2772260.5
554,312025.8124,2772272
555,312003.625,2772283.5
556,311988.9375,2772294.5
557,311953.9062,2772332.75
558,311929.4688,2772358.5
559,311913.375,2772372.25
560,311888.0625,2772389
561,311860.3751,2772400
562,311828.0312,2772408.25
563,311805.5625,2772408.25
564,311781.9688,2772406
565,311770.375,2772400
566,311756.125,2772387.5
567,311746.0938,2772367.75
568,311741.4375,2772348
569,311740,2772329
570,311746.0938,2772302.25
571,311769.5313,2772255.25
572,311803.875,2772193.25
573,311805.9999,2772189.5
574,311817.4375,2772162.75
575,311828.4375,2772125
576,311828.0312,2772101
577,311825.1874,2772086.75
578,311820.1251,2772063
579,311812.7812,2772047.5
580,311780.5626,2772009.25
581,311776.75,2772006
582,311751.0313,2772018.5
583,311646.625,2771970
584,311575.2813,2771935.5
585,311537,2771909.25
586,311518.9063,2771893.25
587,311496.875,2771864.5
588,311443.7501,2771808.75
589,311424.4062,2771791.75
590,311394.4375,2771772.25
591,311371,2771753
592,311359.8125,2771740
593,311357.1562,2771736.75
594,311351.0624,2771726.75
595,311350.6563,2771720.25
596,311354.3125,2771696.75
597,311355.7187,2771636
598,311351.5,2771619.25
599,311349.6562,2771595.5
600,311348.8125,2771582.5
601,311350.5313,2771571
602,311350.6563,2771570
603,311362.1874,2771544.25
604,311364.8125,2771526.25
605,311365.5313,2771504.5
606,311365.625,2771485
607,311366.0625,2771463.25
608,311374,2771445.75
609,311384.0625,2771427.25
610,311395.4375,2771406
611,311434.5938,2771345
612,311461.2813,2771290.5
613,311519.0625,2771180
614,311558.0625,2771100.5
615,311596.2188,2771028.75
616,311629.4062,2770961.25
617,311639.3125,2770939.75
618,311645.5312,2770930.75
619,311650.0313,2770924.75
620,311660.2187,2770913.5
621,311686.9062,2770893.25
622,311697.0938,2770885.5
623,311709.3751,2770873.25
624,311722.0938,2770859.25
625,311732.4063,2770845
626,311756.1562,2770807.5
627,311791.0312,2770744
628,311792.5,2770741.5
629,311815.75,2770699.75
630,311832.2813,2770674.75
631,311877.3438,2770616.75
632,311910.5626,2770579.5
633,311920.0313,2770571.25
634,311927.7812,2770566.25
635,311934.4375,2770563.25
636,311943.0625,2770560.25
637,311968.9063,2770555
638,311998,2770549.25
639,312012,2770545.5
640,312027.125,2770536.5
641,312054.2499,2770515.5
642,312093.2187,2770478
643,312155.5312,2770416.5
644,312176.8749,2770393.25
645,312187.5938,2770380.5
646,312197.0625,2770366.5
647,312203.5625,2770355
648,312211.9062,2770338
649,312222.2188,2770316.25
650,312225.0312,2770311.25
651,312230.4062,2770306.75
652,312237.3437,2770304.5
653,312250.4688,2770301.75
654,312257.4063,2770302.25
655,312268.5625,2770304.25
656,312283.4063,2770310.5
657,312319.5625,2770324
658,312346.25,2770329
659,312368.4375,2770327.75
660,312395,2770321.25
661,312411.5313,2770313.75
662,312445.1562,2770290.5
663,312471,2770271.5
664,312486.5625,2770263
665,312516.5,2770251.5
666,312576.4062,2770237
667,312633.4687,2770224.75
668,312668.6875,2770212.25
669,312670.5,2770211.5
670,312704.1251,2770192.75
